id,downloaded
939591,1.0
120438,1.0
510161,1.0
236686,1.0
818233,1.0
224734,1.0
451614,1.0
353635,1.0
367978,1.0
334362,1.0
890097,1.0
522126,1.0
606892,1.0
866186,1.0
854210,1.0
255268,1.0
548924,1.0
462799,1.0
235666,1.0
626648,1.0
377904,1.0
988290,1.0
570141,1.0
462986,1.0
983739,1.0
874528,1.0
473662,1.0
622182,1.0
871084,1.0
614847,1.0
972349,1.0
530923,1.0
545025,1.0
279581,1.0
693119,1.0
870328,1.0
549280,1.0
288387,1.0
860974,1.0
198075,1.0
393486,1.0
854270,1.0
394321,1.0
408787,1.0
908922,1.0
431196,1.0
742289,1.0
655049,1.0
667520,1.0
193351,1.0
519222,1.0
438528,1.0
822509,1.0
568224,1.0
725464,1.0
887605,1.0
312875,1.0
702966,1.0
239062,1.0
361196,1.0
898320,1.0
211806,1.0
799871,1.0
190454,1.0
699517,1.0
426745,1.0
768442,1.0
792735,1.0
151706,1.0
915742,1.0
963812,1.0
338415,1.0
835782,1.0
817020,1.0
228616,1.0
778354,1.0
351598,1.0
424080,1.0
352497,1.0
768906,1.0
243980,1.0
912325,1.0
203954,1.0
229712,1.0
495154,1.0
484360,1.0
717306,1.0
819481,1.0
881226,1.0
852414,1.0
886112,1.0
431961,1.0
407766,1.0
457890,1.0
361572,1.0
128939,1.0
152940,1.0
225599,1.0
199592,1.0
963124,1.0
534752,1.0
679442,1.0
876347,1.0
298274,1.0
344915,1.0
773094,1.0
457338,1.0
368682,1.0
196428,1.0
867721,1.0
878243,1.0
979322,1.0
458259,1.0
772171,1.0
574491,1.0
205770,1.0
489753,1.0
720878,1.0
708617,1.0
102908,1.0
892286,1.0
826286,1.0
202370,1.0
871254,1.0
571066,1.0
610612,1.0
304037,1.0
424340,1.0
764710,1.0
756427,1.0
482441,1.0
193656,1.0
869392,1.0
781696,1.0
512177,1.0
399019,1.0
376356,1.0
610231,1.0
351785,1.0
150638,1.0
167979,1.0
476454,1.0
472236,1.0
477948,1.0
762898,1.0
267926,1.0
683155,1.0
633636,1.0
371553,1.0
203907,1.0
668711,1.0
588714,1.0
221265,1.0
505041,1.0
581205,1.0
399353,1.0
407082,1.0
514438,1.0
169141,1.0
142180,1.0
318041,1.0
393192,1.0
305160,1.0
188741,1.0
908709,1.0
692234,1.0
911486,1.0
452831,1.0
495538,1.0
652391,1.0
138864,1.0
898700,1.0
455526,1.0
144098,1.0
702540,1.0
744601,1.0
331997,1.0
